date_id,full_date,year,month,day
778,2024-06-01,2024,6,1
779,2024-06-25,2024,6,25
780,2024-06-29,2024,6,29
781,2024-07-03,2024,7,3
782,2024-07-05,2024,7,5
783,2024-07-25,2024,7,25
784,2024-08-24,2024,8,24
785,2024-09-01,2024,9,1
786,2024-09-06,2024,9,6
787,2024-09-22,2024,9,22
788,2024-10-06,2024,10,6
789,2024-10-17,2024,10,17
790,2024-10-22,2024,10,22
791,2024-10-27,2024,10,27
792,2024-11-20,2024,11,20
793,2024-11-25,2024,11,25
794,2025-01-15,2025,1,15
795,2025-02-15,2025,2,15
796,2025-02-19,2025,2,19
797,2025-03-12,2025,3,12
798,2025-03-21,2025,3,21
799,2025-03-25,2025,3,25
800,2025-04-02,2025,4,2
801,2025-05-05,2025,5,5
802,2025-05-13,2025,5,13
803,2025-05-16,2025,5,16
804,2025-05-24,2025,5,24
805,2025-06-01,2025,6,1
806,2025-06-07,2025,6,7
807,2025-06-08,2025,6,8
808,2025-06-17,2025,6,17
809,2025-06-22,2025,6,22
810,2025-07-02,2025,7,2
811,2025-07-04,2025,7,4
812,2025-07-11,2025,7,11
813,2025-07-13,2025,7,13
814,2025-07-20,2025,7,20
815,2025-08-15,2025,8,15
816,2025-09-04,2025,9,4
817,2025-09-07,2025,9,7
818,2025-09-13,2025,9,13
819,2025-09-14,2025,9,14
820,2025-10-01,2025,10,1
821,2025-10-06,2025,10,6
822,2025-10-15,2025,10,15
823,2025-10-17,2025,10,17
824,2025-10-31,2025,10,31
825,2025-11-07,2025,11,7
826,2025-11-11,2025,11,11
827,2025-11-14,2025,11,14
828,2025-11-16,2025,11,16
829,2025-11-25,2025,11,25
830,2025-12-04,2025,12,4
831,2025-12-12,2025,12,12
832,2025-12-16,2025,12,16
833,2025-12-22,2025,12,22
834,2025-12-27,2025,12,27
835,2026-01-03,2026,1,3
836,2026-01-28,2026,1,28
837,2026-02-10,2026,2,10
838,2026-02-27,2026,2,27
839,2026-03-19,2026,3,19
840,2026-04-26,2026,4,26
841,2026-05-16,2026,5,16
842,2026-05-27,2026,5,27
843,2026-06-05,2026,6,5
844,2026-06-10,2026,6,10
845,2026-06-12,2026,6,12
846,2026-06-17,2026,6,17
847,2026-07-09,2026,7,9
848,2026-08-23,2026,8,23
849,2026-08-30,2026,8,30
850,2026-09-02,2026,9,2
851,2026-09-14,2026,9,14
852,2026-09-15,2026,9,15
853,2026-09-19,2026,9,19
854,2026-10-08,2026,10,8
855,2026-10-26,2026,10,26
856,2026-11-10,2026,11,10
857,2026-11-13,2026,11,13
858,2026-11-28,2026,11,28
859,2026-12-02,2026,12,2
860,2026-12-21,2026,12,21
861,2026-12-22,2026,12,22
862,2026-12-29,2026,12,29
863,2026-12-30,2026,12,30
864,2027-01-12,2027,1,12
865,2027-01-15,2027,1,15
866,2027-01-25,2027,1,25
867,2027-02-18,2027,2,18
868,2027-03-01,2027,3,1
869,2027-03-07,2027,3,7
